,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
306,50,3.0,high,0.5,c0927898-6afe-4a7f-98d1-4ec395b0e647,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,1902023ILHB06,ilha,f,glean,glean
243,50,3.0,high,0.3333333333333333,0452b1c9-a249-4667-bf24-bb6969858009,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,14022023SAHB04,sahane,f,glean,glean
103,50,3.0,high,0.0333333333333333,fa135abb-d0cf-4f86-81fa-d786fd8a957a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
191,50,3.0,high,0.1,632655b3-8586-4c96-bf14-73c3ddeea90e,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,08022023MADB03,madava,m,fence_trap,fish
349,50,3.0,high,0.2,d63dc568-99da-438e-bd41-3a79bf13b0d9,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,07022023CUGBO8,kuguana,f,glean,glean
226,50,3.0,high,0.6666666666666666,43fe56c7-3c31-4683-bea1-c741c3af6618,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
281,50,3.0,high,0.1333333333333333,943aa64d-7c5c-4594-944e-529e0b325617,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,01022023MOR04,morrumbene,f,glean,glean
220,50,3.0,high,0.5,a5a2c506-9bdf-4033-9a76-cc0374b5e66e,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,17022023NHCHB01,nhamaxaxa,f,glean,glean
219,50,3.0,high,0.5,a5a2c506-9bdf-4033-9a76-cc0374b5e66e,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,17022023NHCHB01,nhamaxaxa,f,shrimp_net,shrimp_net
287,50,3.0,high,0.2333333333333333,d92b97c0-4a75-4f45-9115-4cb6ac9109ad,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,01022023MORBO5,morrumbene,m,fence_trap,fish
