,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
117,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish
245,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,2851.2,1584.0,0.48979591836734687,0.7272727272727273,19022023ILHB07,ilha,m,gill_net,fish
230,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,2760.0000000000005,2700.0,0.09871244635193134,0.10135135135135136,18022023ILHB01,ilha,m,fence_trap,fish
43,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,3600.0,600.0,0.1844352281044157,0.09180729212205999,04022023CHAB03,chamane,m,hand_line,fish
114,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,840.0,0.0,0.16184971098265896,0.0,31012023MUCB05,mucucune,m,hand_line,fish
66,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
100,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,6336.0,21120.0,0.13496932515337423,0.291906236178682,31012023MUCB01,mucucune,m,fence_trap,fish
4,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,5174.4,4276.8,0.3111111111111111,0.11095890410958903,16022023NHMUB07,nhamua,m,gill_net,fish
89,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,10999.999999999996,533.3333333333333,0.6067534294759056,0.1355258402602096,02022023MARB06,marrambone,m,hand_line,fish
105,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,4000.0,533.3333333333333,0.12307692307692308,0.026020491136770206,31012023MUB02,mucucune,m,fence_trap,fish
58,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,1056.0000000000002,369.6,0.30347153038547015,0.3458083832335329,04022023CHAB08,chamane,m,gill_net,fish
21,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,4050.0,2000.0,0.4864864864864865,0.47337278106508873,15022023JOSB01,josina_machel,m,gill_net,fish
53,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,8640.0,768.0000000000001,0.19362377611183737,0.11128284389489955,04022023CHAB07,chamane,m,hand_line,fish
191,04,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,high,0.0,0.0,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
194,04,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,high,1950.0000000000005,325.00000000000006,0.5434782608695652,0.12195121951219515,04032023NGUB05,nguja,m,gill_net,fish
101,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,8448.0,17600.0,0.17995910020449898,0.24325519681556834,31012023MUCB01,mucucune,m,fence_trap,fish
118,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0,0.0,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish
106,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,800.0,11200.0,0.024615384615384615,0.5464303138721744,31012023MUB02,mucucune,m,fence_trap,fish
93,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,10800.0,639.9999999999999,0.27567725245945784,0.15046811369075108,02022023MARB07,marrambone,m,gill_net,fish
32,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,900.0,0.0,0.3333333333333333,0.0,15022023JOSB06,josina_machel,m,hand_line,fish
84,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,700.0,1319.9999999999998,0.03076386185791177,0.0664714583270444,02022023MARB05,marrambone,m,fence_trap,fish
78,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,400.0,1733.3333333333333,0.014414414414414416,0.06057781919850885,02022023MARB04,marrambone,f,gill_net,fish
193,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,390.00000000000006,1300.0,0.10869565217391303,0.4878048780487805,04032023NGUB05,nguja,m,gill_net,fish
190,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0,0.0,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
184,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0,1866.6666666666665,0.0,0.6481481481481481,04032023NGUB01,nguja,m,hand_line,fish
22,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,4050.0,2000.0,0.4864864864864865,0.47337278106508873,15022023JOSB01,josina_machel,m,gill_net,fish
67,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0,0.0,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
195,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,2666.666666666666,8400.0,0.936768149882904,1.0,04032023NGUB06,nguja,m,gill_net,fish
5,07,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,high,1478.3999999999999,21436.800000000007,0.08888888888888888,0.5561643835616439,16022023NHMUB07,nhamua,m,gill_net,fish
10,07,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,high,250.0,0.0,0.02951954397394137,0.0,13022023NHMUB03,nhamua,m,gill_net,fish
214,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,6000.0,3000.0,0.4233301975540922,0.3568281938325991,01022023MORBO5,morrumbene,m,fence_trap,fish
