,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,prop_cap_hot,prop_cap_cold,days_hot,days_cold,cap_daily_hot,cap_daily_cold,cap_monthly_hot,cap_monthly_cold,cap_income_hot,cap_income_cold,val_trade_hot,val_trade_cold,activity_income_hot,activity_income_cold,income_fr_hot,income_fr_cold,tot_income_hot,tot_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat,seagrass
159,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.4,2.0,1.0,3.0,1.0,12.0,2.0,800.0,200.0,0.0,0.0,0.0,0.0,800.0,200.0,3600.0,800.0,0.2222222222222222,0.25,17022023NHCHB05,nhamaxaxa,m,hand_line,fish,1.0
62,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.0666666666666666,0.0,3.0,,15.0,,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18326.666666666664,15433.333333333334,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net,1.0
69,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.1,3.0,2.0,0.5,0.25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,5693.333333333333,1686.0000000000002,0.0,0.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net,1.0
96,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2,0.2,3.0,4.0,36.0,30.0,216.0,240.0,15839.999999999998,17600.0,0.0,0.0,0.0,0.0,15839.999999999998,17600.0,46944.0,72352.0,0.3374233128834355,0.24325519681556834,31012023MUCB01,mucucune,m,fence_trap,fish,1.0
182,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.1666666666666666,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish,1.0
155,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.1,4.0,2.0,12.0,3.0,96.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish,1.0
41,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1,0.1,5.0,6.0,7.0,4.0,70.0,48.0,2333.333333333333,1600.0,0.0,0.0,0.0,0.0,2333.333333333333,1600.0,19519.04761904762,6535.428571428572,0.11954135154915832,0.2448194456588266,04022023CHAB03,chamane,m,hand_line,fish,1.0
101,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.1,3.0,2.0,20.0,10.0,120.0,40.0,6400.0,2133.333333333333,0.0,0.0,4000.0,4000.0,6400.0,2133.333333333333,32500.0,20496.666666666664,0.19692307692307692,0.10408196454708082,31012023MUB02,mucucune,m,fence_trap,fish,1.0
38,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.1,1.0,1.0,1.0,0.5,2.0,1.0,33.33333333333333,16.666666666666664,0.0,0.0,600.0,600.0,33.33333333333333,16.666666666666664,733.3333333333333,666.6666666666666,0.045454545454545456,0.024999999999999998,04022023CHAB02,chamane,m,hand_line,fish,1.0
153,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.0666666666666666,4.0,2.0,10.0,3.0,80.0,12.0,3840.0000000000005,0.0,0.0,0.0,0.0,0.0,3840.0000000000005,0.0,10752.0,2039.9999999999998,0.3571428571428572,0.0,17022023NHCHB03,nhamaxaxa,m,gill_net,fish,1.0
113,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.0666666666666666,0.0666666666666666,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180.0,4737.333333333333,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish,1.0
110,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.6,0.0,15.0,,3.0,,90.0,,3750.0,0.0,0.0,0.0,0.0,0.0,3750.0,0.0,5190.0,0.0,0.7225433526011561,0.0,31012023MUCB05,mucucune,m,hand_line,fish,1.0
18,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.0333333333333333,0.0333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8325.0,4225.0,0.0,0.0,15022023JOSB01,josina_machel,m,gill_net,fish,1.0
30,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.1333333333333333,3.0,1.0,3.0,1.0,18.0,2.0,900.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,2700.0,0.0,0.3333333333333333,0.0,15022023JOSB06,josina_machel,m,hand_line,fish,1.0
89,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.2666666666666666,0.1333333333333333,14.0,3.0,30.0,5.0,840.0,30.0,16800.0,840.0,0.0,1031.2499999999998,0.0,0.0,16800.0,1871.2499999999998,41391.8,9924.583333333332,0.4058774926434704,0.18854695831059237,02022023MARB07,marrambone,m,gill_net,fish,1.0
114,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.0666666666666666,0.0666666666666666,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180.0,4737.333333333333,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish,1.0
74,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.1666666666666666,0.1333333333333333,3.0,3.0,12.0,7.0,72.0,42.0,2400.0,4200.0,0.0,0.0,0.0,0.0,2400.0,4200.0,27749.999999999996,28613.333333333332,0.08648648648648649,0.146784715750233,02022023MARB04,marrambone,f,gill_net,fish,1.0
230,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.1,0.2,3.0,10.0,2.0,3.0,12.0,60.0,1200.0,4000.0,0.0,0.0,0.0,0.0,1200.0,4000.0,4000.0,4000.0,0.3,1.0,19022023ILHB05,ilha,m,hand_line,fish,1.0
111,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.2,0.0,3.0,,1.0,,6.0,,840.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,5190.0,0.0,0.16184971098265896,0.0,31012023MUCB05,mucucune,m,hand_line,fish,1.0
222,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.2333333333333333,0.2333333333333333,3.0,3.0,4.0,3.0,24.0,18.0,2760.0000000000005,2700.0,0.0,0.0,0.0,0.0,2760.0000000000005,2700.0,27960.0,26640.0,0.09871244635193134,0.10135135135135136,18022023ILHB01,ilha,m,fence_trap,fish,1.0
80,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.0333333333333333,0.0,2.0,,2.0,,8.0,,666.6666666666666,0.0,80.0,0.0,6500.0,6500.0,746.6666666666666,2400.0,49668.66666666666,26501.6,0.01503295169322041,0.09056056992785341,02022023MARB05,marrambone,m,fence_trap,fish,1.0
102,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.1666666666666666,0.1,3.0,1.0,12.5,5.0,75.0,10.0,4000.0,533.3333333333333,0.0,0.0,4000.0,4000.0,4000.0,533.3333333333333,32500.0,20496.666666666664,0.12307692307692308,0.026020491136770206,31012023MUB02,mucucune,m,fence_trap,fish,1.0
97,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.0666666666666666,0.1,3.0,4.0,12.0,30.0,72.0,240.0,6336.0,21120.0,0.0,0.0,0.0,0.0,6336.0,21120.0,46944.0,72352.0,0.13496932515337423,0.291906236178682,31012023MUCB01,mucucune,m,fence_trap,fish,1.0
152,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,0.5,none,0.1333333333333333,0.2333333333333333,4.0,2.0,1.0,3.0,8.0,12.0,0.0,1439.9999999999998,0.0,0.0,0.0,0.0,0.0,1439.9999999999998,10752.0,2039.9999999999998,0.0,0.7058823529411764,17022023NHCHB03,nhamaxaxa,m,gill_net,fish,1.0
