,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
81,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0333333333333333,0.3333333333333333,20.0,24.0,02022023MARB05,marrambone,m,fence_trap,fish
31,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.2666666666666666,0.1333333333333333,18.0,2.0,15022023JOSB06,josina_machel,m,hand_line,fish
115,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0666666666666666,0.0666666666666666,,,31012023MUCB06,mucucune,m,gill_net,fish
177,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.1,0.4666666666666667,,40.0,04032023NGUB01,nguja,m,hand_line,fish
75,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.1333333333333333,0.1666666666666666,12.0,24.0,02022023MARB04,marrambone,f,gill_net,fish
64,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0666666666666666,0.0,15.0,,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
10,07,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,none,0.1333333333333333,0.0,40.0,,13022023NHMUB03,nhamua,m,gill_net,fish
5,07,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,none,0.3,0.0666666666666666,48.0,,16022023NHMUB07,nhamua,m,gill_net,fish
220,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,0.1,0.2,32.0,72.0,08032023MORB08,morrumbene,m,hand_line,fish
215,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,0.2666666666666666,0.1666666666666666,1050.0,225.0,01022023MORB07,morrumbene,m,drag_net,fish
206,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,0.3333333333333333,0.1666666666666666,150.0,60.0,01022023MORBO5,morrumbene,m,fence_trap,fish
210,10,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,none,0.1,0.1333333333333333,1250.0,450.0,O1O22023MOR06,morrumbene,m,drag_net,fish
149,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0666666666666666,0.2333333333333333,24.0,4.0,17022023NHCHB01,nhamaxaxa,f,shrimp_net,shrimp_net
