,resource_id,sg_dep_median,sg_dep_cat,social,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
124,03,0.5,none,0.2333333333333333,47619fa4-71bc-4eef-b706-4e52c3cd7db8,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,31012023MUCB01,mucucune,m,basket_trap,fish
94,03,0.5,none,0.2666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,glean,glean
168,03,0.5,none,0.1666666666666666,caac8748-ebed-413c-a5d2-a635b5bd8932,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,09022023NHMPB04,nhampossa,m,fence_trap,fish
76,03,0.5,none,0.3333333333333333,fb35740b-c147-41b7-b604-35eed1bf5c77,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,gill_net,fish
38,03,0.5,none,0.1666666666666666,e6132e33-e9f3-45ea-a5cf-7d565844a22c,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,15022023JOSB06,josina_machel,m,hand_line,fish
11,03,0.5,none,0.1333333333333333,1205bf41-13d7-4421-b564-4a77c527cd17,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,13022023NHMUB01,nhamua,m,fence_trap,fish
280,03,0.5,none,,f5769b1d-ab41-4ec3-9364-13194af91f08,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,19022023ILHB05,ilha,m,hand_line,fish
30,03,0.5,none,0.5,c440707b-35aa-4bca-abca-50c81f169c89,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,15022023JOSB01,josina_machel,m,gill_net,fish
77,03,0.5,none,0.3333333333333333,fb35740b-c147-41b7-b604-35eed1bf5c77,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
273,03,0.5,none,,8423da8b-88cf-49f4-8723-5e442b776d59,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,18022023ILHB01,ilha,m,fence_trap,fish
50,03,0.5,none,0.3333333333333333,d4d143b4-de71-42bd-be9e-b42bcadd5863,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,hand_line,fish
51,03,0.5,none,0.3333333333333333,d4d143b4-de71-42bd-be9e-b42bcadd5863,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
69,03,0.5,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,gill_net,fish
71,03,0.5,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,glean,glean
70,03,0.5,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,shrimp_net,shrimp_net
201,04,3.0,high,0.1,8407b1b2-9c62-4161-a560-a8c8415ca76a,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,1.0,08022023MADB06,madava,m,gill_net,fish
155,04,3.0,high,0.2,cc36442d-39f0-46d9-996a-421e2a247b36,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,1.0,09022023NHMPB01,nhampossa,m,basket_trap,fish
